segmento,rotulo,corte_datas,tratamento_extremos,metrica_diaria,metrica_compra,cenario_ocupacao,ocupacao_assumida,anuncios_airbnb,anuncios_vivareal,diaria_usada,preco_compra_usado,retorno_bruto_indicativo_percentual,comparavel_ranqueavel,ranking_no_cenario
centro_studio,Centro | studio,7,completa,p25,p25,conservador,0.4,0,0,,,,False,
centro_3q,Centro | 3 quartos,7,completa,p25,mediana,conservador,0.4,45,437,523.0,2100000.0,3.6360952380952383,True,5
centro_3q,Centro | 3 quartos,7,completa,p25,mediana,base,0.55,45,437,523.0,2100000.0,4.9996309523809535,True,5
centro_3q,Centro | 3 quartos,7,completa,p25,mediana,otimista,0.7,45,437,523.0,2100000.0,6.363166666666667,True,5
centro_3q,Centro | 3 quartos,7,completa,p25,p75,conservador,0.4,45,437,523.0,2790000.0,2.736845878136201,True,5
centro_3q,Centro | 3 quartos,7,completa,p25,p75,base,0.55,45,437,523.0,2790000.0,3.763163082437276,True,5
centro_3q,Centro | 3 quartos,7,completa,p25,p75,otimista,0.7,45,437,523.0,2790000.0,4.7894802867383515,True,5
centro_3q,Centro | 3 quartos,7,completa,mediana,p25,conservador,0.4,45,437,790.0,1750000.0,6.590857142857143,True,5
centro_3q,Centro | 3 quartos,7,completa,mediana,p25,base,0.55,45,437,790.0,1750000.0,9.06242857142857,True,5
centro_3q,Centro | 3 quartos,7,completa,mediana,p25,otimista,0.7,45,437,790.0,1750000.0,11.533999999999999,True,5
centro_3q,Centro | 3 quartos,7,completa,mediana,mediana,conservador,0.4,45,437,790.0,2100000.0,5.492380952380952,True,5
centro_3q,Centro | 3 quartos,7,completa,mediana,mediana,base,0.55,45,437,790.0,2100000.0,7.55202380952381,True,5
centro_3q,Centro | 3 quartos,7,completa,mediana,mediana,otimista,0.7,45,437,790.0,2100000.0,9.611666666666666,True,5
centro_3q,Centro | 3 quartos,7,completa,mediana,p75,conservador,0.4,45,437,790.0,2790000.0,4.13405017921147,True,5
centro_3q,Centro | 3 quartos,7,completa,mediana,p75,base,0.55,45,437,790.0,2790000.0,5.6843189964157705,True,5
centro_3q,Centro | 3 quartos,7,completa,mediana,p75,otimista,0.7,45,437,790.0,2790000.0,7.234587813620072,True,5
centro_3q,Centro | 3 quartos,7,completa,p75,p25,conservador,0.4,45,437,850.0,1750000.0,7.091428571428571,True,6
centro_3q,Centro | 3 quartos,7,completa,p75,p25,base,0.55,45,437,850.0,1750000.0,9.750714285714286,True,6
centro_3q,Centro | 3 quartos,7,completa,p75,p25,otimista,0.7,45,437,850.0,1750000.0,12.41,True,6
centro_3q,Centro | 3 quartos,7,completa,p75,mediana,conservador,0.4,45,437,850.0,2100000.0,5.90952380952381,True,6
